,fecha,valordemanda,Año,Mes,Dia,DiaSemana
137,2011-05-18,733284.81,2011,5,18,3
138,2011-05-19,730295.8,2011,5,19,4
139,2011-05-20,718021.06,2011,5,20,5
140,2011-05-21,642166.59,2011,5,21,6
141,2011-05-22,580824.46,2011,5,22,7
142,2011-05-23,721325.51,2011,5,23,1
143,2011-05-24,751955.01,2011,5,24,2
144,2011-05-25,763354.59,2011,5,25,3
145,2011-05-26,768988.41,2011,5,26,4
146,2011-05-27,753573.98,2011,5,27,5
147,2011-05-28,660433.75,2011,5,28,6
148,2011-05-29,599687.36,2011,5,29,7
149,2011-05-30,719798.78,2011,5,30,1
150,2011-05-31,740148.28,2011,5,31,2
151,2011-06-01,736507.71,2011,6,1,3
152,2011-06-02,731586.42,2011,6,2,4
153,2011-06-03,728179.39,2011,6,3,5
154,2011-06-04,650939.75,2011,6,4,6
155,2011-06-05,593263.94,2011,6,5,7
156,2011-06-06,717827.57,2011,6,6,1
157,2011-06-07,729124.24,2011,6,7,2
158,2011-06-08,726958.6,2011,6,8,3
159,2011-06-09,726197.14,2011,6,9,4
160,2011-06-10,729081.8,2011,6,10,5
161,2011-06-11,651720.48,2011,6,11,6
162,2011-06-12,597597.06,2011,6,12,7
163,2011-06-13,709296.45,2011,6,13,1
164,2011-06-14,765953.76,2011,6,14,2
165,2011-06-15,781388.47,2011,6,15,3
166,2011-06-16,781068.19,2011,6,16,4
167,2011-06-17,775007.18,2011,6,17,5
168,2011-06-18,689770.13,2011,6,18,6
169,2011-06-19,619463.75,2011,6,19,7
170,2011-06-20,771419.1,2011,6,20,1
171,2011-06-21,807857.31,2011,6,21,2
172,2011-06-22,807255.01,2011,6,22,3
173,2011-06-23,758158.69,2011,6,23,4
174,2011-06-24,732479.82,2011,6,24,5
175,2011-06-25,706602.28,2011,6,25,6
176,2011-06-26,659247.7,2011,6,26,7
177,2011-06-27,819452.16,2011,6,27,1
178,2011-06-28,840966.75,2011,6,28,2
179,2011-06-29,831145.95,2011,6,29,3
180,2011-06-30,822543.67,2011,6,30,4
181,2011-07-01,815518.98,2011,7,1,5
182,2011-07-02,734509.81,2011,7,2,6
183,2011-07-03,654919.44,2011,7,3,7
184,2011-07-04,769975.59,2011,7,4,1
185,2011-07-05,811716.99,2011,7,5,2
186,2011-07-06,825209.31,2011,7,6,3
187,2011-07-07,810750.5,2011,7,7,4
188,2011-07-08,801231.46,2011,7,8,5
189,2011-07-09,717117.03,2011,7,9,6
190,2011-07-10,649712.72,2011,7,10,7
191,2011-07-11,803303.51,2011,7,11,1
192,2011-07-12,822854.47,2011,7,12,2
193,2011-07-13,795703.99,2011,7,13,3
194,2011-07-14,787722.49,2011,7,14,4
195,2011-07-15,794878.16,2011,7,15,5
196,2011-07-16,716612.86,2011,7,16,6
197,2011-07-17,644718.39,2011,7,17,7
198,2011-07-18,759632.23,2011,7,18,1
199,2011-07-19,778794.24,2011,7,19,2
200,2011-07-20,779200.72,2011,7,20,3
201,2011-07-21,794634.04,2011,7,21,4
202,2011-07-22,777917.51,2011,7,22,5
203,2011-07-23,683024.57,2011,7,23,6
204,2011-07-24,612801.59,2011,7,24,7
205,2011-07-25,705686.23,2011,7,25,1
206,2011-07-26,785359.75,2011,7,26,2
207,2011-07-27,789031.48,2011,7,27,3
208,2011-07-28,791079.59,2011,7,28,4
209,2011-07-29,784435.73,2011,7,29,5
210,2011-07-30,692132.78,2011,7,30,6
211,2011-07-31,620909.33,2011,7,31,7
212,2011-08-01,750733.29,2011,8,1,1
213,2011-08-02,755284.35,2011,8,2,2
214,2011-08-03,762726.85,2011,8,3,3
215,2011-08-04,775525.84,2011,8,4,4
216,2011-08-05,774415.23,2011,8,5,5
217,2011-08-06,698976.98,2011,8,6,6
218,2011-08-07,638554.48,2011,8,7,7
219,2011-08-08,748381.3,2011,8,8,1
220,2011-08-09,753563.77,2011,8,9,2
221,2011-08-10,757400.02,2011,8,10,3
222,2011-08-11,765068.42,2011,8,11,4
223,2011-08-12,758084.75,2011,8,12,5
224,2011-08-13,680443.81,2011,8,13,6
225,2011-08-14,627458.65,2011,8,14,7
226,2011-08-15,642720.55,2011,8,15,1
227,2011-08-16,758518.33,2011,8,16,2
228,2011-08-17,776784.38,2011,8,17,3
229,2011-08-18,779458.38,2011,8,18,4
230,2011-08-19,789421.21,2011,8,19,5
231,2011-08-20,727929.71,2011,8,20,6
232,2011-08-21,657776.63,2011,8,21,7
233,2011-08-22,766209.57,2011,8,22,1
234,2011-08-23,790956.67,2011,8,23,2
235,2011-08-24,796132.09,2011,8,24,3
236,2011-08-25,796545.53,2011,8,25,4
237,2011-08-26,778669.37,2011,8,26,5
238,2011-08-27,673296.91,2011,8,27,6
239,2011-08-28,625479.52,2011,8,28,7
240,2011-08-29,770858.74,2011,8,29,1
241,2011-08-30,796511.2,2011,8,30,2
242,2011-08-31,804908.59,2011,8,31,3
243,2011-09-01,797786.31,2011,9,1,4
244,2011-09-02,775799.84,2011,9,2,5
245,2011-09-03,672610.17,2011,9,3,6
246,2011-09-04,614618.57,2011,9,4,7
247,2011-09-05,751794.99,2011,9,5,1
248,2011-09-06,782342.59,2011,9,6,2
249,2011-09-07,798344.16,2011,9,7,3
250,2011-09-08,788024.61,2011,9,8,4
251,2011-09-09,782878.63,2011,9,9,5
252,2011-09-10,706751.73,2011,9,10,6
253,2011-09-11,640377.75,2011,9,11,7
254,2011-09-12,785871.16,2011,9,12,1
255,2011-09-13,810268.25,2011,9,13,2
256,2011-09-14,819033.29,2011,9,14,3
257,2011-09-15,815478.23,2011,9,15,4
258,2011-09-16,808450.88,2011,9,16,5
259,2011-09-17,709913.8,2011,9,17,6
260,2011-09-18,627664.06,2011,9,18,7
261,2011-09-19,735741.58,2011,9,19,1
262,2011-09-20,755132.14,2011,9,20,2
263,2011-09-21,764948.89,2011,9,21,3
264,2011-09-22,774546.29,2011,9,22,4
